Fecha,Venta Mañana,Venta Noche,Total del Día
2024-01-01,825,884,1709
2024-01-02,879,828,1707
2024-01-03,884,866,1750
2024-01-04,872,859,1731
2024-01-05,871,802,1673
2024-01-06,891,877,1768
2024-01-07,881,892,1773
2024-01-08,841,830,1671
2024-01-09,851,831,1682
2024-01-10,806,879,1685
2024-01-11,876,881,1757
2024-01-12,819,874,1693
2024-01-13,820,842,1662
2024-01-14,840,840,1680
2024-01-15,862,895,1757
2024-01-16,820,899,1719
2024-01-17,841,896,1737
2024-01-18,888,841,1729
2024-01-19,828,889,1717
2024-01-20,868,869,1737
2024-01-21,865,842,1707
2024-01-22,866,867,1733
2024-01-23,855,821,1676
2024-01-24,856,890,1746
2024-01-25,866,821,1687
2024-01-26,849,855,1704
2024-01-27,877,859,1736
2024-01-28,809,806,1615
2024-01-29,886,811,1697
2024-01-30,875,863,1738
2024-01-31,802,875,1677
2024-02-01,874,892,1766
2024-02-02,875,894,1769
2024-02-03,897,803,1700
2024-02-04,897,811,1708
2024-02-05,843,875,1718
2024-02-06,853,865,1718
2024-02-07,806,850,1656
2024-02-08,863,873,1736
2024-02-09,876,878,1754
2024-02-10,820,866,1686
2024-02-11,816,815,1631
2024-02-12,837,885,1722
2024-02-13,836,894,1730
2024-02-14,870,809,1679
2024-02-15,837,885,1722
2024-02-16,868,890,1758
2024-02-17,878,829,1707
2024-02-18,818,829,1647
2024-02-19,898,875,1773
2024-02-20,870,861,1731
2024-02-21,888,858,1746
2024-02-22,831,845,1676
2024-02-23,895,825,1720
2024-02-24,859,802,1661
2024-02-25,823,871,1694
2024-02-26,841,857,1698
2024-02-27,848,892,1740
2024-02-28,881,862,1743
2024-02-29,895,803,1698
2024-03-01,844,800,1644
2024-03-02,816,824,1640
2024-03-03,877,807,1684
2024-03-04,829,886,1715
2024-03-05,862,821,1683
2024-03-06,852,864,1716
2024-03-07,850,880,1730
2024-03-08,884,880,1764
2024-03-09,886,889,1775
2024-03-10,826,872,1698
2024-03-11,830,864,1694
2024-03-12,809,844,1653
2024-03-13,805,807,1612
2024-03-14,869,842,1711
2024-03-15,816,860,1676
2024-03-16,862,859,1721
2024-03-17,850,822,1672
2024-03-18,830,876,1706
2024-03-19,874,862,1736
2024-03-20,876,847,1723
2024-03-21,845,837,1682
2024-03-22,847,813,1660
2024-03-23,808,858,1666
2024-03-24,887,803,1690
2024-03-25,822,822,1644
2024-03-26,860,895,1755
2024-03-27,836,802,1638
2024-03-28,816,808,1624
2024-03-29,845,844,1689
2024-03-30,838,893,1731
2024-03-31,856,871,1727
2024-04-01,851,847,1698
2024-04-02,815,873,1688
2024-04-03,854,897,1751
2024-04-04,838,898,1736
2024-04-05,824,817,1641
2024-04-06,808,846,1654
2024-04-07,802,848,1650
2024-04-08,837,877,1714
2024-04-09,812,848,1660
2024-04-10,829,822,1651
2024-04-11,881,813,1694
2024-04-12,816,896,1712
2024-04-13,895,861,1756
2024-04-14,850,869,1719
2024-04-15,867,897,1764
2024-04-16,864,824,1688
2024-04-17,894,875,1769
2024-04-18,887,862,1749
2024-04-19,853,872,1725
2024-04-20,820,801,1621
2024-04-21,873,873,1746
2024-04-22,898,863,1761
2024-04-23,808,815,1623
2024-04-24,838,831,1669
2024-04-25,839,884,1723
2024-04-26,868,814,1682
2024-04-27,821,878,1699
2024-04-28,806,853,1659
2024-04-29,845,897,1742
2024-04-30,855,814,1669
2024-05-01,854,855,1709
2024-05-02,843,802,1645
2024-05-03,837,856,1693
2024-05-04,822,800,1622
2024-05-05,813,809,1622
2024-05-06,809,873,1682
2024-05-07,894,865,1759
2024-05-08,800,814,1614
2024-05-09,811,848,1659
2024-05-10,888,877,1765
2024-05-11,833,879,1712
2024-05-12,814,893,1707
2024-05-13,831,865,1696
2024-05-14,861,808,1669
2024-05-15,832,884,1716
2024-05-16,889,806,1695
2024-05-17,831,815,1646
2024-05-18,851,880,1731
2024-05-19,824,833,1657
2024-05-20,810,852,1662
2024-05-21,848,900,1748
2024-05-22,842,881,1723
2024-05-23,872,900,1772
2024-05-24,846,863,1709
2024-05-25,816,894,1710
2024-05-26,809,846,1655
2024-05-27,823,821,1644
2024-05-28,881,814,1695
2024-05-29,808,822,1630
2024-05-30,814,884,1698
2024-05-31,888,842,1730
2024-06-01,801,900,1701
2024-06-02,856,834,1690
2024-06-03,814,835,1649
2024-06-04,865,883,1748
2024-06-05,842,820,1662
2024-06-06,824,824,1648
2024-06-07,879,838,1717
2024-06-08,805,870,1675
2024-06-09,886,884,1770
2024-06-10,806,847,1653
2024-06-11,834,878,1712
2024-06-12,842,888,1730
2024-06-13,839,851,1690
2024-06-14,832,838,1670
2024-06-15,898,877,1775
2024-06-16,841,824,1665
2024-06-17,876,825,1701
2024-06-18,803,837,1640
2024-06-19,811,898,1709
2024-06-20,807,804,1611
2024-06-21,846,819,1665
2024-06-22,878,855,1733
2024-06-23,889,881,1770
2024-06-24,868,854,1722
2024-06-25,895,895,1790
2024-06-26,800,856,1656
2024-06-27,860,893,1753
2024-06-28,888,900,1788
2024-06-29,849,874,1723
2024-06-30,815,845,1660
2024-07-01,853,889,1742
2024-07-02,816,824,1640
2024-07-03,844,808,1652
2024-07-04,892,895,1787
2024-07-05,885,869,1754
2024-07-06,814,863,1677
2024-07-07,877,876,1753
2024-07-08,900,863,1763
2024-07-09,802,809,1611
2024-07-10,877,882,1759
2024-07-11,864,870,1734
2024-07-12,844,890,1734
2024-07-13,884,877,1761
2024-07-14,850,880,1730
2024-07-15,848,859,1707
2024-07-16,805,843,1648
2024-07-17,804,827,1631
2024-07-18,831,870,1701
2024-07-19,826,895,1721
2024-07-20,896,826,1722
2024-07-21,850,898,1748
2024-07-22,900,829,1729
2024-07-23,839,862,1701
2024-07-24,844,837,1681
2024-07-25,811,852,1663
2024-07-26,801,837,1638
2024-07-27,891,887,1778
2024-07-28,831,878,1709
2024-07-29,801,845,1646
2024-07-30,833,844,1677
2024-07-31,838,820,1658
2024-08-01,808,861,1669
2024-08-02,818,888,1706
2024-08-03,850,804,1654
2024-08-04,855,864,1719
2024-08-05,868,824,1692
2024-08-06,867,851,1718
2024-08-07,804,832,1636
2024-08-08,887,882,1769
2024-08-09,807,824,1631
2024-08-10,845,805,1650
2024-08-11,843,806,1649
2024-08-12,809,853,1662
2024-08-13,850,801,1651
2024-08-14,876,859,1735
2024-08-15,800,850,1650
2024-08-16,813,815,1628
2024-08-17,866,881,1747
2024-08-18,815,816,1631
2024-08-19,839,822,1661
2024-08-20,862,820,1682
2024-08-21,803,847,1650
2024-08-22,810,805,1615
2024-08-23,821,827,1648
2024-08-24,851,820,1671
2024-08-25,889,807,1696
2024-08-26,861,837,1698
2024-08-27,881,840,1721
2024-08-28,843,842,1685
2024-08-29,831,842,1673
2024-08-30,893,826,1719
2024-08-31,837,851,1688
2024-09-01,857,810,1667
2024-09-02,899,877,1776
2024-09-03,872,825,1697
2024-09-04,881,812,1693
2024-09-05,824,900,1724
2024-09-06,840,835,1675
2024-09-07,863,858,1721
2024-09-08,886,841,1727
2024-09-09,842,840,1682
2024-09-10,819,841,1660
2024-09-11,822,823,1645
2024-09-12,875,808,1683
2024-09-13,831,815,1646
2024-09-14,854,819,1673
2024-09-15,834,850,1684
2024-09-16,810,841,1651
2024-09-17,819,805,1624
2024-09-18,810,803,1613
2024-09-19,819,829,1648
2024-09-20,866,890,1756
2024-09-21,846,878,1724
2024-09-22,828,807,1635
2024-09-23,830,883,1713
2024-09-24,887,849,1736
2024-09-25,816,805,1621
2024-09-26,898,837,1735
2024-09-27,826,800,1626
2024-09-28,836,805,1641
2024-09-29,817,855,1672
2024-09-30,883,860,1743
2024-10-01,865,857,1722
2024-10-02,823,874,1697
2024-10-03,896,898,1794
2024-10-04,827,808,1635
2024-10-05,812,873,1685
2024-10-06,898,846,1744
2024-10-07,875,877,1752
2024-10-08,809,831,1640
2024-10-09,842,896,1738
2024-10-10,885,842,1727
2024-10-11,838,834,1672
2024-10-12,864,838,1702
2024-10-13,817,820,1637
2024-10-14,802,820,1622
2024-10-15,826,867,1693
2024-10-16,825,888,1713
2024-10-17,822,897,1719
2024-10-18,898,863,1761
2024-10-19,839,804,1643
2024-10-20,845,850,1695
2024-10-21,891,898,1789
2024-10-22,865,867,1732
2024-10-23,878,899,1777
2024-10-24,830,894,1724
2024-10-25,883,895,1778
2024-10-26,874,885,1759
2024-10-27,834,882,1716
2024-10-28,821,823,1644
2024-10-29,806,830,1636
2024-10-30,864,837,1701
2024-10-31,890,834,1724
2024-11-01,831,809,1640
2024-11-02,877,892,1769
2024-11-03,885,825,1710
2024-11-04,834,841,1675
2024-11-05,803,869,1672
2024-11-06,846,824,1670
2024-11-07,890,900,1790
2024-11-08,848,845,1693
2024-11-09,833,896,1729
2024-11-10,871,837,1708
2024-11-11,835,832,1667
2024-11-12,892,873,1765
2024-11-13,801,804,1605
2024-11-14,856,844,1700
2024-11-15,900,840,1740
2024-11-16,884,818,1702
2024-11-17,880,807,1687
2024-11-18,832,850,1682
2024-11-19,893,875,1768
2024-11-20,814,888,1702
2024-11-21,876,839,1715
2024-11-22,890,848,1738
2024-11-23,896,845,1741
2024-11-24,849,896,1745
2024-11-25,809,816,1625
2024-11-26,841,864,1705
2024-11-27,824,859,1683
2024-11-28,814,834,1648
2024-11-29,876,881,1757
2024-11-30,820,801,1621
2024-12-01,813,853,1666
2024-12-02,809,895,1704
2024-12-03,877,800,1677
2024-12-04,843,846,1689
2024-12-05,848,860,1708
2024-12-06,810,830,1640
2024-12-07,820,895,1715
2024-12-08,851,881,1732
2024-12-09,802,880,1682
2024-12-10,882,885,1767
2024-12-11,898,847,1745
2024-12-12,828,811,1639
2024-12-13,885,875,1760
2024-12-14,878,817,1695
2024-12-15,836,835,1671
2024-12-16,890,891,1781
2024-12-17,846,858,1704
2024-12-18,829,852,1681
2024-12-19,897,805,1702
2024-12-20,897,899,1796
2024-12-21,864,841,1705
2024-12-22,892,813,1705
2024-12-23,894,885,1779
2024-12-24,841,837,1678
2024-12-25,878,863,1741
2024-12-26,867,875,1742
2024-12-27,894,878,1772
2024-12-28,829,829,1658
2024-12-29,852,840,1692
2024-12-30,882,886,1768
2024-12-31,861,870,1731
